date,next_open,next_close,diff,up_indicator
2015-08-17,257.35,246.83,-10.52000000000001,0
2015-08-18,246.83,225.87,-20.960000000000008,0
2015-08-19,225.87,234.67,8.799999999999983,1
2015-08-20,234.67,232.67,-2.0,0
2015-08-21,232.67,229.47,-3.1999999999999886,0
2015-08-22,229.47,226.89,-2.5800000000000125,0
2015-08-23,226.89,211.58,-15.309999999999974,0
2015-08-24,211.58,220.36,8.780000000000001,1
2015-08-25,220.36,225.19,4.829999999999984,1
2015-08-26,225.19,221.97,-3.219999999999999,0
2015-08-27,221.97,231.67,9.699999999999989,1
2015-08-28,231.67,228.6,-3.069999999999993,0
2015-08-29,228.6,228.05,-0.549999999999983,0
2015-08-30,228.05,229.13,1.079999999999984,1
2015-08-31,229.13,226.84,-2.289999999999992,0
2015-09-01,226.84,228.67,1.829999999999984,1
2015-09-02,228.67,226.25,-2.4199999999999875,0
2015-09-03,226.25,230.66,4.409999999999997,1
2015-09-04,230.66,232.94,2.280000000000001,1
2015-09-05,232.94,240.28,7.340000000000003,1
2015-09-06,240.28,239.57,-0.710000000000008,0
2015-09-07,239.57,243.32,3.75,1
2015-09-08,243.32,237.24,-6.079999999999984,0
2015-09-09,237.24,238.21,0.9699999999999989,1
2015-09-10,238.21,240.18,1.9699999999999989,1
2015-09-11,240.18,235.63,-4.550000000000011,0
2015-09-12,235.63,230.03,-5.599999999999994,0
2015-09-13,230.03,230.21,0.18000000000000682,1
2015-09-14,230.21,230.07,-0.14000000000001478,0
2015-09-15,230.07,228.82,-1.25,0
2015-09-16,228.82,232.92,4.099999999999994,1
2015-09-17,232.92,232.49,-0.4299999999999784,0
2015-09-18,232.49,231.32,-1.170000000000016,0
2015-09-19,231.32,231.13,-0.18999999999999773,0
2015-09-20,231.13,226.63,-4.5,0
2015-09-21,226.63,229.62,2.990000000000009,1
2015-09-22,229.62,230.17,0.549999999999983,1
2015-09-23,230.17,234.85,4.680000000000007,1
2015-09-24,234.85,235.47,0.6200000000000045,1
2015-09-25,235.47,234.48,-0.9900000000000091,0
2015-09-26,234.48,233.03,-1.4499999999999886,0
2015-09-27,233.03,238.98,5.949999999999989,1
2015-09-28,238.98,236.89,-2.0900000000000034,0
2015-09-29,236.89,235.71,-1.1799999999999784,0
2015-09-30,235.71,237.05,1.3400000000000034,1
2015-10-01,237.05,236.45,-0.6000000000000227,0
2015-10-02,236.45,238.57,2.1200000000000045,1
2015-10-03,238.57,238.75,0.18000000000000682,1
2015-10-04,238.75,239.71,0.960000000000008,1
2015-10-05,239.71,245.92,6.2099999999999795,1
2015-10-06,245.92,242.94,-2.9799999999999898,0
2015-10-07,242.94,242.58,-0.3599999999999852,0
2015-10-08,242.58,244.42,1.839999999999975,1
2015-10-09,244.42,245.48,1.0600000000000023,1
2015-10-10,245.48,247.78,2.3000000000000114,1
2015-10-11,247.78,245.76,-2.0200000000000102,0
2015-10-12,245.76,249.47,3.710000000000008,1
2015-10-13,249.47,252.2,2.7299999999999898,1
2015-10-14,252.2,254.46,2.2600000000000193,1
2015-10-15,254.46,262.89,8.429999999999978,1
2015-10-16,262.89,269.78,6.889999999999986,1
2015-10-17,269.78,261.47,-8.309999999999945,0
2015-10-18,261.47,263.72,2.25,1
2015-10-19,263.72,270.02,6.2999999999999545,1
2015-10-20,270.02,267.1,-2.919999999999959,0
2015-10-21,267.1,274.97,7.8700000000000045,1
2015-10-22,274.97,276.38,1.4099999999999682,1
2015-10-23,276.38,282.72,6.340000000000032,1
2015-10-24,282.72,286.74,4.019999999999982,1
2015-10-25,286.74,284.62,-2.1200000000000045,0
2015-10-26,284.62,295.01,10.389999999999986,1
2015-10-27,295.01,304.07,9.060000000000002,1
2015-10-28,304.07,312.67,8.600000000000023,1
2015-10-29,312.67,327.6,14.930000000000007,1
2015-10-30,327.6,311.68,-15.920000000000016,0
2015-10-31,311.68,325.84,14.159999999999968,1
2015-11-01,325.84,360.87,35.03000000000003,1
2015-11-02,360.87,395.57,34.69999999999999,1
2015-11-03,395.57,400.34,4.769999999999982,1
2015-11-04,400.34,383.01,-17.329999999999984,0
2015-11-05,383.01,370.22,-12.789999999999964,0
2015-11-06,370.22,385.12,14.899999999999977,1
2015-11-07,385.12,371.38,-13.740000000000009,0
2015-11-08,371.38,380.33,8.949999999999989,1
2015-11-09,380.33,336.94,-43.389999999999986,0
2015-11-10,336.94,304.24,-32.69999999999999,0
2015-11-11,304.24,334.11,29.870000000000005,1
2015-11-12,334.11,333.87,-0.2400000000000091,0
2015-11-13,333.87,331.76,-2.1100000000000136,0
2015-11-14,331.76,317.77,-13.990000000000009,0
2015-11-15,317.77,330.36,12.590000000000032,1
2015-11-16,330.36,333.83,3.4699999999999704,1
2015-11-17,333.83,335.59,1.759999999999991,1
2015-11-18,335.59,325.19,-10.399999999999977,0
2015-11-19,325.19,321.13,-4.060000000000002,0
2015-11-20,321.13,324.65,3.519999999999982,1
2015-11-21,324.65,323.06,-1.589999999999975,0
2015-11-22,323.06,322.44,-0.6200000000000045,0
2015-11-23,322.44,318.38,-4.060000000000002,0
2015-11-24,318.38,327.5,9.120000000000005,1
2015-11-25,327.5,353.61,26.110000000000014,1
2015-11-26,353.61,359.71,6.099999999999966,1
2015-11-27,359.71,355.85,-3.859999999999957,0
2015-11-28,355.85,371.03,15.17999999999995,1
2015-11-29,371.03,378.03,7.0,1
2015-11-30,378.03,362.03,-16.0,0
2015-12-01,362.03,360.27,-1.759999999999991,0
2015-12-02,360.27,360.36,0.09000000000003183,1
2015-12-03,360.36,361.79,1.4300000000000068,1
2015-12-04,361.79,386.13,24.339999999999975,1
2015-12-05,386.13,393.71,7.579999999999984,1
2015-12-06,393.71,394.75,1.0400000000000205,1
2015-12-07,394.75,410.4,15.649999999999977,1
2015-12-08,410.4,416.54,6.140000000000043,1
2015-12-09,416.54,415.87,-0.6700000000000159,0
2015-12-10,415.87,450.33,34.45999999999998,1
2015-12-11,450.33,433.12,-17.20999999999998,0
2015-12-12,433.12,434.93,1.8100000000000023,1
2015-12-13,434.93,442.32,7.389999999999986,1
2015-12-14,442.32,463.6,21.28000000000003,1
2015-12-15,463.6,453.39,-10.210000000000036,0
2015-12-16,453.39,453.38,-0.009999999999990905,0
2015-12-17,453.38,463.87,10.490000000000009,1
2015-12-18,463.87,462.02,-1.8500000000000227,0
2015-12-19,462.02,442.07,-19.94999999999999,0
2015-12-20,442.07,437.54,-4.529999999999973,0
2015-12-21,437.54,436.5,-1.0400000000000205,0
2015-12-22,436.5,442.41,5.910000000000025,1
2015-12-23,442.41,452.79,10.379999999999995,1
2015-12-24,452.79,454.24,1.4499999999999886,1
2015-12-25,454.24,415.81,-38.43000000000001,0
2015-12-26,415.81,422.37,6.560000000000002,1
2015-12-27,422.37,421.87,-0.5,0
2015-12-28,421.87,432.09,10.21999999999997,1
