week_number,open_next,close_next,diff_next,indicator
304,11454.98,13087.68,1632.7000000000007,1
305,13087.68,13736.74,649.0599999999995,1
306,13736.74,15397.82,1661.08,1
307,15397.82,16237.53,839.710000000001,1
308,16237.53,18529.23,2291.699999999999,1
309,18529.23,18548.03,18.799999999999272,1
310,18548.03,19305.88,757.8500000000022,1
311,19305.88,19205.71,-100.17000000000189,0
312,19205.71,23906.79,4701.080000000002,1
313,23906.79,27030.93,3124.1399999999994,1
314,27030.93,33353.08,6322.1500000000015,1
315,33258.06,32869.3,-388.75999999999476,0
316,32869.3,35186.21,2316.909999999996,1
317,35186.21,33489.35,-1696.8600000000006,0
318,33489.35,33546.55,57.200000000004366,1
319,33546.55,39051.1,5504.549999999996,1
320,39051.1,46944.63,7893.529999999999,1
321,46944.63,56045.03,9100.400000000001,1
322,56045.03,45926.96,-10118.07,0
323,45926.96,50309.58,4382.620000000003,1
324,50309.58,58755.01,8445.43,1
325,58755.01,57686.24,-1068.770000000004,0
326,57686.24,55385.95,-2300.290000000001,0
327,55385.95,57171.12,1785.1700000000055,1
328,57171.12,60803.64,3632.519999999997,1
329,60803.64,57336.15,-3467.489999999998,0
330,57336.15,52933.84,-4402.310000000005,0
331,52933.84,57962.06,5028.220000000001,1
332,57962.06,58905.51,943.4500000000044,1
333,58905.51,44364.58,-14540.93,0
334,44364.58,36177.92,-8186.6600000000035,0
335,36177.92,35081.11,-1096.8099999999977,0
336,35081.11,36085.4,1004.2900000000009,1
337,36085.4,39598.33,3512.9300000000003,1
338,39598.33,32787.33,-6811.0,0
339,32787.33,34539.31,1751.979999999996,1
340,34539.31,34316.03,-223.27999999999884,0
341,34316.03,34385.77,69.73999999999796,1
342,34385.77,31815.96,-2569.8099999999977,0
343,31815.96,38656.74,6840.779999999999,1
344,38656.74,40282.43,1625.6900000000023,1
345,40282.43,43489.19,3206.760000000002,1
346,43489.19,47372.05,3882.8600000000006,1
347,47372.05,50191.63,2819.5799999999945,1
348,50191.63,47989.18,-2202.449999999997,0
349,47989.18,51868.87,3879.6900000000023,1
350,51868.87,44833.13,-7035.740000000005,0
351,44833.13,45637.44,804.310000000005,1
352,45637.44,43780.95,-1856.4900000000052,0
353,43780.95,47752.03,3971.0800000000017,1
354,47752.03,56687.48,8935.450000000004,1
355,56687.48,62251.19,5563.709999999999,1
356,62251.19,62032.11,-219.08000000000175,0
357,62032.11,60764.14,-1267.9700000000012,0
358,60764.14,65957.41,5193.270000000004,1
359,65957.41,65684.39,-273.0200000000041,0
360,65684.39,57377.79,-8306.599999999999,0
361,57377.79,57487.4,109.61000000000058,1
362,57487.4,48231.77,-9255.630000000005,0
363,48231.77,48985.67,753.9000000000015,1
364,48985.67,46587.94,-2397.729999999996,0
365,46587.94,50960.97,4373.029999999999,1
366,50960.97,46934.27,-4026.7000000000044,0
367,46934.27,41934.28,-4999.989999999998,0
368,41934.28,42775.62,841.3400000000038,1
369,42775.62,35284.6,-7491.020000000004,0
370,35284.6,36922.85,1638.25,1
371,36922.85,42793.03,5870.18,1
372,42793.03,42207.03,-586.0,0
373,42207.03,39232.73,-2974.2999999999956,0
374,39232.73,37988.12,-1244.6100000000006,0
375,37988.12,38177.51,189.38999999999942,1
376,38177.51,38654.18,476.66999999999825,1
377,38654.18,40862.38,2208.199999999997,1
378,40862.38,46918.75,6056.370000000003,1
379,46918.75,46215.82,-702.9300000000003,0
380,46215.82,42266.66,-3949.159999999996,0
381,42266.66,39002.31,-3264.350000000006,0
382,39002.31,38647.39,-354.91999999999825,0
383,38647.39,38931.14,283.75,1
384,38931.14,33565.17,-5365.970000000001,0
385,33565.17,29539.64,-4025.529999999999,0
386,29539.64,30459.1,919.4599999999991,1
387,30459.1,30687.3,228.20000000000073,1
388,30687.3,31259.33,572.0300000000025,1
389,31259.33,25292.72,-5966.610000000001,0
390,25292.72,20115.53,-5177.190000000002,0
391,20115.53,21258.16,1142.630000000001,1
392,21258.16,19074.73,-2183.4300000000003,0
393,19074.73,20388.82,1314.0900000000001,1
394,20388.82,22195.08,1806.260000000002,1
395,22195.08,21914.11,-280.97000000000116,0
396,21914.11,23228.97,1314.8600000000006,1
397,23228.97,23739.38,510.40999999999985,1
